Type,Start,End,Duration,Distance,Average Heart Rate,Max Heart Rate,Average Pace,Average Speed,Active Energy,Total Energy,Elevation Ascended,Weather Temperature,Weather Humidity
Cross Training,5/19/2020 18:22,5/19/2020 18:58,0:35:20,1.448365451,122.2225064,179,0:24:24,2.458733167,290.224,365.756,,61,34
Traditional Strength Training,5/18/2020 20:01,5/18/2020 20:57,0:55:38,,114.3354298,154,,,347.634,439.93,,64,63
Outdoor Running,5/17/2020 18:03,5/17/2020 18:31,0:27:33,3.827487904,161.2379032,171,0:07:12,8.331172847,440.26,493.436,286.8110236,64,68
Indoor Walking,5/16/2020 18:38,5/16/2020 19:21,0:43:10,2.642710697,91.65116279,100,0:16:20,3.672186751,244.138,336.636,,76,41
Indoor Walking,5/15/2020 21:39,5/15/2020 22:16,0:36:42,2.227564504,93.40137615,104,0:16:28,3.641220577,215.871,294.04,,76,46
Traditional Strength Training,5/14/2020 15:19,5/14/2020 16:33,1:13:50,,103.7960199,133,,,353.803,475.184,,68,56
Outdoor Running,5/12/2020 14:51,5/12/2020 15:13,0:21:49,1.583323149,153.4236111,200,0:13:47,4.353062644,267.449,322.278,567.8149606,57,34
High Intensity Interval Training,5/11/2020 15:34,5/11/2020 16:32,0:58:05,,124.6997579,154,,,552.63,646.333,,56,43
Outdoor Running,5/10/2020 15:19,5/10/2020 16:23,1:02:14,7.84613658,153.2067947,164,0:07:56,7.562822984,874.281,998.623,359.6784777,63,27
Outdoor Running,5/10/2020 14:52,5/10/2020 15:19,0:26:52,3.305048955,152.9521912,177,0:08:07,7.379713395,382.5,425.755,299.0485564,62,28
Cross Training,5/9/2020 17:30,5/9/2020 18:34,1:03:22,2.965216172,114.394198,145,0:21:22,2.807386241,435.078,551.663,,47,36
Traditional Strength Training,5/8/2020 18:05,5/8/2020 18:53,0:47:21,,100.9443099,136,,,220.91,314.244,,54,83
Outdoor Running,5/7/2020 13:45,5/7/2020 13:49,0:03:26,0.625238757,176.8888889,192,0:05:30,10.90582648,65.226,71.562,,60,30
Outdoor Running,5/7/2020 13:36,5/7/2020 13:40,0:03:28,0.61544821,118,118,0:05:37,10.65105541,66.428,72.834,,60,30
Outdoor Running,5/7/2020 13:28,5/7/2020 13:31,0:03:32,0.628465587,156.6,194,0:05:38,10.64305907,66.906,73.102,,60,31
Outdoor Running,5/7/2020 13:20,5/7/2020 13:23,0:03:27,0.604592613,190.3333333,193,0:05:43,10.47741649,66.567,72.629,,60,31
Indoor Running,5/6/2020 15:59,5/6/2020 16:34,0:34:14,3.488726505,132.8268734,162,0:09:48,6.112506879,381.65,437.22,,49,81
Traditional Strength Training,5/5/2020 15:02,5/5/2020 15:29,0:26:55,,114.688172,144,,,174.894,223.333,,57,40
Outdoor Running,5/5/2020 14:26,5/5/2020 14:57,0:30:44,3.461028387,147.1824324,185,0:08:52,6.75621184,395.259,453.376,290.1574803,56,41
Outdoor Running,5/4/2020 18:06,5/4/2020 18:47,0:41:26,6.208596809,182.9849624,198,0:06:40,8.989363927,699.675,786.812,292.9133858,66,31
Outdoor Running,4/29/2020 16:27,4/29/2020 17:32,0:52:55,6.221087545,159.3065134,176,0:08:30,7.051900601,722.017,846.167,333.7270341,73,51
High Intensity Interval Training,4/26/2020 18:34,4/26/2020 20:31,1:05:16,,101.8382353,132,,,424.603,627.676,,54,91
Outdoor Running,4/25/2020 14:53,4/25/2020 16:22,1:25:39,11.41408272,156.2609582,171,0:07:30,7.994831319,1293.742,1455.856,628.4776903,62,58
Traditional Strength Training,4/24/2020 19:59,4/24/2020 21:03,1:03:48,,102.1481481,145,,,284.069,407.707,,52,82
Outdoor Running,4/24/2020 12:56,4/24/2020 13:27,0:06:48,1.429163259,131.0604651,168,0:04:46,12.57992359,30.037,102.327,,52,90
Outdoor Running,4/23/2020 12:43,4/23/2020 13:30,0:47:09,6.92893872,181.9636364,189,0:06:48,8.814934463,774.467,865.598,336.3188976,56,43
High Intensity Interval Training,4/22/2020 9:00,4/22/2020 10:22,0:54:42,,129.8165548,173,,,537.974,686.779,,42,39
Outdoor Running,4/19/2020 16:49,4/19/2020 18:24,1:35:20,8.25707852,146.6675427,178,0:11:32,5.196156172,1027.965,1202.956,777.7230971,62,35
Traditional Strength Training,4/17/2020 18:13,4/17/2020 19:20,1:07:42,,106.2454695,145,,,313.979,424.274,,54,54
Outdoor Running,4/17/2020 10:01,4/17/2020 10:31,0:30:01,3.900744779,NA,NA,0:07:41,7.795510016,449.864,517.46,303.3464567,47,39
Outdoor Running,4/16/2020 12:34,4/16/2020 14:07,0:58:16,3.793313935,102.3971631,175,0:15:21,3.905477382,485.467,699.701,401.4435696,45,41
Outdoor Running,4/14/2020 17:42,4/14/2020 18:02,0:20:37,3.124411348,172.3769634,186,0:06:35,9.09151959,367.696,422.941,262.5,54,37
Outdoor Running,4/12/2020 14:20,4/12/2020 15:43,1:21:24,10.01084639,148.4655776,159,0:08:07,7.378817377,1135.426,1288.318,586.4501312,66,48
Outdoor Running,4/11/2020 17:56,4/11/2020 18:00,0:04:09,0.63395122,168.2,184,0:06:33,9.159786344,69.387,99.393,,59,26
Outdoor Running,4/11/2020 17:48,4/11/2020 17:52,0:04:07,0.632607875,153.6,184,0:06:30,9.209239993,70.159,77.033,,59,27
Outdoor Running,4/11/2020 17:36,4/11/2020 17:44,0:08:18,1.257779528,182.75,184,0:06:36,9.089049845,134.714,148.254,,59,26
Outdoor Running,4/11/2020 17:19,4/11/2020 17:31,0:12:20,1.87956367,186.7142857,192,0:06:33,9.140261966,198.766,218.832,6.56167979,59,27
High Intensity Interval Training,4/10/2020 17:28,4/10/2020 18:25,0:57:18,,131.4322767,197,,,605.901,716.75,,48,34
High Intensity Interval Training,4/9/2020 12:43,4/9/2020 13:36,0:53:12,,121.6008316,164,,,468.195,561.544,,64,59
Outdoor Running,4/8/2020 16:51,4/8/2020 17:34,0:43:23,3.574039719,166.6693767,178,0:12:08,4.941774436,470.096,561.916,55.87270341,,
Outdoor Running,4/5/2020 13:39,4/5/2020 14:05,0:25:26,3.126001918,167.8888889,185,0:08:08,7.373945489,374.546,427.943,225.7874016,64,49
Outdoor Running,4/4/2020 13:56,4/4/2020 14:44,0:48:51,6.221001603,173.1838843,190,0:07:51,7.639097129,735.623,827.992,331.660105,57,55
High Intensity Interval Training,4/3/2020 19:24,4/3/2020 20:12,0:48:50,,134.1746411,168,,,511.605,664.91,,57,43
Traditional Strength Training,4/2/2020 19:08,4/2/2020 20:13,1:05:44,,91.29967949,151,,,276.101,398.524,,58,31
Outdoor Running,4/2/2020 8:49,4/2/2020 9:03,0:13:38,2.01495131,NA,NA,0:06:46,8.866824699,234.074,256.18,161.9422572,45,50
Traditional Strength Training,4/1/2020 18:58,4/1/2020 19:44,0:45:18,,90.9201278,125,,,188.64,335.056,,51,61
Outdoor Running,3/29/2020 16:05,3/29/2020 17:00,0:09:00,1.473358493,120.1219512,151,0:06:06,9.810400151,161.801,268.145,,63,73
Outdoor Running,3/27/2020 18:13,3/27/2020 18:32,0:18:32,1.960347057,116.0891089,168,0:09:27,6.3428822,213.713,266.551,,,
Outdoor Running,3/26/2020 17:19,3/26/2020 17:25,0:05:54,1.00929349,129.6,144,0:05:51,10.25538284,104.332,137.425,,58,55
Outdoor Running,3/26/2020 17:08,3/26/2020 17:14,0:05:58,1.018985989,166.1111111,186,0:05:51,10.23269958,110.708,120.507,,58,54
Outdoor Running,3/26/2020 16:57,3/26/2020 17:03,0:06:00,1.015931558,182.75,187,0:05:55,10.13588468,106.295,116.23,,59,54
Outdoor Running,3/26/2020 16:46,3/26/2020 16:52,0:06:04,1.012867041,138.4444444,187,0:06:00,9.990810704,103.252,113.254,,59,53
Outdoor Running,3/26/2020 16:36,3/26/2020 16:42,0:05:42,1.007307849,137.4,189,0:05:39,10.59180558,104.143,113.534,,59,53
Outdoor Running,3/24/2020 14:57,3/24/2020 16:58,2:00:01,14.22240372,160.7184549,174,0:08:26,7.109489617,1590.302,1804.253,803.3792651,53,54
Outdoor Walking,3/21/2020 17:32,3/21/2020 17:39,0:07:08,0.384083248,91,97,0:18:36,3.225586402,27.442,55.203,11.87664042,50,42
Outdoor Running,3/18/2020 16:45,3/18/2020 17:33,0:47:20,6.658582058,173.8108108,188,0:07:06,8.437671689,750.84,840.987,380.1509186,55,44
Outdoor Running,3/17/2020 16:23,3/17/2020 16:35,0:02:17,0.460662282,147.7352941,174,0:04:58,12.0577641,11.237,31.269,,62,51
Outdoor Running,3/17/2020 15:40,3/17/2020 16:18,0:16:04,2.832804841,140.0891089,188,0:05:40,10.57100636,310.344,371.812,,62,50
Traditional Strength Training,3/16/2020 18:09,3/16/2020 19:14,1:04:37,,97.79887218,140,,,298.746,425.99,,50,42
Outdoor Running,3/13/2020 18:09,3/13/2020 19:01,0:51:09,7.270569379,172.6570156,185,0:07:02,8.527449446,843.46,936.26,567.683727,65,23
Traditional Strength Training,3/11/2020 19:18,3/11/2020 20:14,0:56:23,,111.1895161,141,,,298.329,389.937,,51,50
Cross Training,3/8/2020 16:55,3/8/2020 17:42,0:46:49,0.628558122,100.8515625,135,1:14:29,0.80539214,220.497,296.37,,60,14
Outdoor Running,3/7/2020 14:11,3/7/2020 15:50,1:38:54,13.48946883,167.6754587,185,0:07:19,8.182372702,1504.075,1671.168,465.1246719,49,21
Cross Training,3/6/2020 19:46,3/6/2020 21:00,1:13:40,1.16265205,127.6626324,165,1:03:21,0.946945898,677.285,794.307,,44,57
Outdoor Running,3/4/2020 20:16,3/4/2020 20:49,0:32:07,4.267390722,168,170,0:07:31,7.971208786,473.366,549.51,192.9461942,57,25
Outdoor Running,3/3/2020 21:29,3/3/2020 21:38,0:08:41,1.165250309,168.6393443,175,0:07:27,8.050940756,130.913,145.536,68.43832021,58,57
Outdoor Running,3/3/2020 20:07,3/3/2020 21:07,0:51:45,6.589113153,167.210443,187,0:07:51,7.637819942,755.23,873.541,322.6706037,59,70
Cross Training,3/2/2020 19:35,3/2/2020 20:32,0:56:39,4.729867768,147.8065574,183,0:11:58,5.008614362,493.827,585.84,,61,32
Outdoor Running,3/2/2020 19:27,3/2/2020 19:31,0:04:27,0.668752921,104,104,0:06:40,8.986610152,83.774,91.19,67.45406824,61,32
Traditional Strength Training,2/28/2020 18:08,2/28/2020 19:33,1:25:11,,99.82042254,145,,,422.403,560.423,,41,47
Cross Training,2/26/2020 19:42,2/26/2020 20:54,1:11:47,0.792547518,91.79886148,130,1:30:34,0.662382044,312.626,450.304,,48,89
Indoor Cycling,2/23/2020 20:46,2/23/2020 21:28,0:41:22,,90.38696538,102,,,212.254,299.052,,43,44
Cross Training,2/21/2020 18:27,2/21/2020 20:03,1:36:15,1.159270912,109.9810671,168,1:23:02,0.722597572,600.925,755.359,,34,25
Soccer,2/20/2020 22:00,2/20/2020 23:29,1:28:53,4.465370243,125.534543,125.534543,0:19:54,3.014146136,583.551,727.933,,34,40
Cross Training,2/19/2020 19:30,2/19/2020 20:53,1:22:41,1.765964776,121.1749228,139.1280403,0:46:49,1.28130988,622.694,756.14,,45,23
Soccer,2/18/2020 22:01,2/18/2020 23:35,1:34:20,3.746904605,113.4438672,143.9404154,0:25:10,2.383030656,707.239,880.665,,53,66
Cross Training,2/16/2020 13:12,2/16/2020 15:01,1:48:39,9.300144714,159.4474631,172.086858,0:11:41,5.135264859,1364.727,1539.761,,45,41
Cross Training,2/14/2020 17:08,2/14/2020 18:31,1:22:30,1.315462505,124.4492527,130.1583357,1:02:43,0.956622069,586.187,723.498,,32,30
Soccer,2/13/2020 22:01,2/13/2020 23:29,1:28:08,2.99723753,110.3640369,127.3897808,0:29:24,2.040157338,538.832,681.008,,43,53
Outdoor Running,2/12/2020 16:03,2/12/2020 16:19,0:10:52,1.414294537,113.6146756,113.6146756,0:07:41,7.801541692,163.9,189.198,94.12729659,47,42
Soccer,2/11/2020 22:00,2/11/2020 23:35,1:34:43,4.057838656,128.8108212,129.9231417,0:23:20,2.570227272,689.259,842.934,,49,59
